source,end,CON,LAB,LDEM,UKIP,GRN,CON_LEAD
BMG/Independent,2017-09-29,37,42,10,4.0,3.0,-5
ICM/Guardian,2017-09-24,40,42,8,4.0,2.0,-2
YouGov/Times,2017-09-24,39,43,7,4.0,2.0,-4
Survation/Mail on Sunday,2017-09-22,38,42,8,4.0,2.0,-4
Opinium/Observer,2017-09-22,42,40,6,4.0,2.0,2
Ipsos-MORI/,2017-09-18,40,44,9,2.0,1.0,-4
Opinium/Observer,2017-09-15,41,41,5,5.0,3.0,0
BMG/Independent,2017-09-15,39,38,8,6.0,4.0,1
YouGov/Times,2017-09-13,41,42,7,3.0,2.0,-1
ICM/Guardian,2017-09-10,42,42,7,4.0,3.0,0
Survation/Mail on Sunday,2017-09-01,38,43,7,4.0,,-5
YouGov/Times,2017-08-31,41,42,6,4.0,2.0,-1
ICM/Guardian,2017-08-28,42,42,7,3.0,3.0,0
YouGov/Times,2017-08-22,41,42,8,4.0,1.0,-1
Opinium/Observer,2017-08-18,40,43,6,4.0,2.0,-3
BMG/Independent,2017-08-11,42,39,7,6.0,3.0,3
YouGov/Times,2017-08-01,41,44,7,3.0,2.0,-3
YouGov/Times,2017-07-19,41,43,6,3.0,2.0,-2
Ipsos-MORI/Evening Standard,2017-07-18,41,42,9,3.0,2.0,-1
ICM/Guardian,2017-07-16,42,43,7,3.0,2.0,-1
Survation/Mail on Sunday,2017-07-15,39,42,8,6.0,1.0,-3
Opinium/Observer,2017-07-14,41,43,5,5.0,2.0,-2
YouGov/Times,2017-07-11,40,45,7,2.0,1.0,-5
YouGov/Times,2017-07-06,38,46,6,4.0,1.0,-8
ICM/Guardian,2017-07-03,41,43,7,3.0,3.0,-2
Survation/,2017-06-30,42,41,7,2.0,2.0,1
Opinium/Observer,2017-06-29,39,45,5,5.0,2.0,-6
Panelbase/Sunday Times,2017-06-21,41,46,6,2.0,1.0,-5
Survation/Good Morning Britain,2017-06-17,42,45,6,2.0,1.0,-3
Survation/Mail on Sunday,2017-06-10,39,45,7,3.0,1.0,-6
Panelbase/,2017-06-07,44,36,7,5.0,2.0,8
Kantar/,2017-06-07,43,38,7,4.0,2.0,5
ICM/Guardian,2017-06-07,46,34,7,5.0,2.0,12
YouGov/Times,2017-06-07,42,35,10,5.0,2.0,7
ComRes/Independent,2017-06-07,44,34,9,5.0,2.0,10
Survation/,2017-06-07,41,40,8,2.0,2.0,1
BMG/Herald,2017-06-07,46,33,8,5.0,3.0,13
Ipsos-MORI/Evening Standard,2017-06-07,44,36,7,4.0,2.0,8
Opinium/,2017-06-06,43,36,8,5.0,2.0,7
ICM/Guardian,2017-06-04,45,34,8,5.0,3.0,11
Survation/Good Morning Britain,2017-06-03,41,40,6,3.0,1.0,1
Survation/Mail on Sunday,2017-06-03,40,39,8,5.0,2.0,1
ICM/Sun on Sunday,2017-06-02,45,34,9,5.0,3.0,11
ComRes/Ind on Sun/S. Mirror,2017-06-02,47,35,8,4.0,1.0,12
YouGov/Sunday Times,2017-06-02,42,38,9,4.0,2.0,4
Ipsos-MORI/Evening Standard,2017-06-01,45,40,7,2.0,2.0,5
ORB/Sunday Telegraph,2017-06-01,45,36,8,4.0,2.0,9
Panelbase/,2017-06-01,44,36,7,5.0,2.0,8
YouGov/Times,2017-05-31,42,39,7,4.0,2.0,3
Kantar/,2017-05-30,43,33,11,4.0,3.0,10
ICM/Guardian,2017-05-29,45,33,8,5.0,3.0,12
Survation/Good Morning Britain,2017-05-27,43,37,8,4.0,1.0,6
ICM/Sun on Sunday,2017-05-26,46,32,8,5.0,2.0,14
YouGov/Sunday Times,2017-05-26,43,36,9,4.0,2.0,7
ComRes/Ind on Sun/S. Mirror,2017-05-26,46,34,8,5.0,2.0,12
YouGov/Times,2017-05-25,43,38,10,4.0,1.0,5
ORB/Sunday Telegraph,2017-05-25,44,38,7,5.0,2.0,6
YouGov/Times,2017-05-25,43,38,10,4.0,1.0,5
Opinium/Observer,2017-05-24,45,35,7,5.0,2.0,10
Panelbase/,2017-05-23,48,33,7,4.0,2.0,15
Kantar/,2017-05-22,42,34,9,4.0,4.0,8
ICM/Guardian,2017-05-21,47,33,9,4.0,2.0,14
Survation/Mail on Sunday,2017-05-20,46,34,8,3.0,1.0,12
Survation/Good Morning Britain,2017-05-20,43,34,8,4.0,2.0,9
YouGov/Sunday Times,2017-05-19,44,35,9,3.0,2.0,9
ORB/Sunday Telegraph,2017-05-18,46,34,7,7.0,2.0,12
Ipsos-MORI/Evening Standard,2017-05-17,49,34,7,2.0,3.0,15
YouGov/Times,2017-05-17,45,32,8,6.0,2.0,13
Opinium/Observer,2017-05-17,46,33,8,5.0,2.0,13
Panelbase/,2017-05-15,47,33,7,5.0,3.0,14
Kantar/,2017-05-15,47,29,8,6.0,4.0,18
YouGov/Times,2017-05-10,46,30,11,5.0,2.0,16
YouGov/Sunday Times,2017-05-12,49,31,9,3.0,2.0,18
ICM/Guardian,2017-05-14,48,28,10,6.0,3.0,20
ORB/Sunday Telegraph,2017-05-11,46,32,8,7.0,2.0,14
Panelbase/,2017-05-09,48,31,8,5.0,2.0,17
ComRes/Ind on Sun/S. Mirror,2017-05-12,48,30,10,5.0,3.0,18
Survation/Good Morning Britain,2017-05-13,48,30,8,4.0,2.0,18
Opinium/Observer,2017-05-12,47,32,8,5.0,2.0,15
Kantar/,2017-05-08,44,28,11,8.0,6.0,16
ICM/Guardian,2017-05-07,49,27,9,6.0,3.0,22
Survation/Good Morning Britain,2017-05-06,47,30,7,4.0,3.0,17
YouGov/Sunday Times,2017-05-05,47,28,11,6.0,2.0,19
ICM/Sun on Sunday,2017-05-05,46,28,10,8.0,4.0,18
ORB/Sunday Telegraph,2017-05-04,46,31,9,8.0,3.0,15
Opinium/,2017-05-03,46,30,9,7.0,2.0,16
YouGov/Times,2017-05-03,48,29,10,5.0,2.0,19
Kantar/,2017-05-02,48,24,11,7.0,4.0,24
ICM/Guardian,2017-05-02,47,28,8,8.0,4.0,19
Panelbase/,2017-05-02,47,30,10,5.0,2.0,17
Opinium/Observer,2017-04-28,47,30,8,7.0,3.0,17
ICM/Sun on Sunday,2017-04-28,47,28,9,8.0,4.0,19
YouGov/Sunday Times,2017-04-28,44,31,11,6.0,2.0,13
ORB/Sunday Telegraph,2017-04-27,42,31,10,8.0,4.0,11
YouGov/Times,2017-04-26,45,29,10,7.0,3.0,16
Ipsos-MORI/Evening Standard,2017-04-25,49,26,13,4.0,1.0,23
Panelbase/,2017-04-24,49,27,10,5.0,3.0,22
ICM/Guardian,2017-04-24,48,27,10,7.0,3.0,21
Kantar/,2017-04-24,46,24,11,8.0,4.0,22
Survation/Mail on Sunday,2017-04-22,40,29,11,11.0,2.0,11
ICM/ITV,2017-04-21,48,26,10,8.0,3.0,22
YouGov/Sunday Times,2017-04-21,48,25,12,5.0,3.0,23
ComRes/Sunday Mirror,2017-04-20,50,25,11,7.0,3.0,25
Opinium/Observer,2017-04-20,45,26,11,9.0,3.0,19
YouGov/Times,2017-04-19,48,24,12,7.0,2.0,24
ICM/Guardian,2017-04-18,46,25,11,8.0,4.0,21
ICM/Guardian,2017-04-17,44,26,12,11.0,4.0,18
Opinium/Observer,2017-04-13,38,29,7,14.0,5.0,9
ComRes/Independent/S. Mirror,2017-04-13,46,25,11,9.0,4.0,21
YouGov/Times,2017-04-13,44,23,12,10.0,4.0,21
YouGov/Times,2017-04-06,42,25,11,11.0,3.0,17
ICM/Guardian,2017-04-02,43,25,11,11.0,4.0,18
YouGov/Times,2017-03-27,43,25,11,10.0,3.0,18
YouGov/Times,2017-03-21,41,25,11,12.0,3.0,16
ICM/Guardian,2017-03-19,45,26,9,10.0,4.0,19
ComRes/Independent/S. Mirror,2017-03-17,42,25,12,10.0,4.0,17
Opinium/Observer,2017-03-17,41,28,8,13.0,3.0,13
GfK/,2017-03-15,41,28,7,12.0,6.0,13
YouGov/Times,2017-03-14,44,27,10,9.0,4.0,17
Ipsos-MORI/Evening Standard,2017-03-14,43,30,13,6.0,4.0,13
YouGov/Times,2017-03-09,44,25,10,11.0,3.0,19
ICM/Guardian,2017-03-05,44,28,8,11.0,5.0,16
YouGov/Times,2017-02-28,42,25,11,12.0,4.0,17
YouGov/Times,2017-02-22,41,25,11,13.0,3.0,16
ICM/Guardian,2017-02-19,44,26,8,13.0,4.0,18
Opinium/Observer,2017-02-16,40,27,8,14.0,4.0,13
Ipsos-MORI/Evening Standard,2017-02-14,40,29,13,9.0,4.0,11
YouGov/Times,2017-02-13,40,24,11,15.0,4.0,16
ComRes/Independent/S. Mirror,2017-02-10,41,26,11,11.0,4.0,15
YouGov/Times,2017-02-06,40,24,11,14.0,4.0,16
ICM/Guardian,2017-02-05,42,27,10,12.0,4.0,15
Opinium/Observer,2017-02-01,37,30,8,14.0,5.0,7
YouGov/Times,2017-01-31,40,26,11,12.0,4.0,14
YouGov/Times,2017-01-24,40,24,10,14.0,3.0,16
ICM/Guardian,2017-01-22,42,26,10,13.0,5.0,16
YouGov/Times,2017-01-17,42,25,11,12.0,3.0,17
Ipsos-MORI/Evening Standard,2017-01-16,43,31,11,6.0,4.0,12
Survation/Mail on Sunday,2017-01-13,38,29,10,13.0,2.0,9
Opinium/Observer,2017-01-12,38,30,7,14.0,4.0,8
ICM/Guardian,2017-01-08,42,28,9,12.0,4.0,14
YouGov/Times,2017-01-04,39,26,10,14.0,4.0,13
YouGov/Times,2016-12-19,39,24,12,14.0,4.0,15
Opinium/Observer,2016-12-16,38,31,6,13.0,4.0,7
Ipsos-MORI/Evening Standard,2016-12-12,40,29,14,9.0,3.0,11
ICM/Guardian,2016-12-11,41,27,9,14.0,3.0,14
YouGov/Times,2016-12-05,42,25,11,12.0,4.0,17
YouGov/Times,2016-11-29,39,27,9,14.0,4.0,12
ICM/Guardian,2016-11-27,44,28,7,12.0,4.0,16
YouGov/Times,2016-11-22,41,28,9,12.0,4.0,13
ICM/Guardian,2016-11-20,42,28,9,11.0,3.0,14
Opinium/,2016-11-18,41,29,7,12.0,3.0,12
YouGov/Times,2016-11-15,42,28,8,11.0,4.0,14
Ipsos-MORI/Evening Standard,2016-11-14,42,33,10,7.0,3.0,9
Opinium/,2016-11-04,40,32,6,13.0,4.0,8
YouGov/Times,2016-11-01,41,27,10,11.0,4.0,14
ICM/Guardian,2016-10-30,43,27,8,12.0,5.0,16
YouGov/Times,2016-10-25,40,27,11,11.0,3.0,13
BMG/,2016-10-24,42,28,8,12.0,4.0,14
Opinium/Observer,2016-10-21,39,30,6,13.0,4.0,9
YouGov/Election Data,2016-10-20,42,26,8,12.0,5.0,16
Ipsos-MORI/Evening Standard,2016-10-17,47,29,7,6.0,4.0,18
YouGov/Times,2016-10-12,42,28,9,11.0,3.0,14
ICM/Guardian,2016-10-09,43,26,8,11.0,6.0,17
YouGov/Times,2016-09-29,39,30,8,13.0,3.0,9
ICM/Sun on Sunday,2016-09-23,41,26,8,14.0,4.0,15
BMG/,2016-09-23,39,28,8,13.0,5.0,11
YouGov/Times,2016-09-21,39,30,8,13.0,3.0,9
Ipsos-MORI/Evening Standard,2016-09-14,40,34,6,9.0,5.0,6
YouGov/Times,2016-09-14,38,31,7,13.0,4.0,7
ICM/Guardian,2016-09-11,41,27,8,14.0,4.0,14
YouGov/Times,2016-09-05,40,29,7,13.0,3.0,11
YouGov/Times,2016-08-31,38,30,7,14.0,4.0,8
ICM/Guardian,2016-08-28,41,27,9,13.0,4.0,14
YouGov/Times,2016-08-23,40,29,8,13.0,3.0,11
Ashcroft/,2016-08-22,40,31,7,13.0,3.0,9
YouGov/Times,2016-08-17,38,30,9,13.0,4.0,8
Ipsos-MORI/Evening Standard,2016-08-15,45,34,7,6.0,4.0,11
ICM/,2016-08-15,40,28,8,14.0,4.0,12
YouGov/Times,2016-08-08,38,31,8,13.0,4.0,7
TNS BMRB/,2016-08-08,39,26,10,11.0,7.0,13
YouGov/Times,2016-08-02,42,28,8,12.0,3.0,14
YouGov/Times,2016-07-26,40,28,8,13.0,4.0,12
ICM/,2016-07-24,43,27,8,13.0,4.0,16
Opinium/Observer,2016-07-22,37,31,6,15.0,4.0,6
YouGov/,2016-07-18,40,29,9,12.0,3.0,11
ICM/,2016-07-15,39,29,9,14.0,4.0,10
Ipsos-MORI/Evening Standard,2016-07-11,36,35,11,8.0,4.0,1
ICM/,2016-07-10,38,30,8,15.0,4.0,8
Survation/CRC,2016-07-05,36,32,9,12.0,4.0,4
ICM/,2016-07-03,37,30,8,15.0,4.0,7
Opinium/,2016-06-30,34,29,7,17.0,4.0,5
ICM/Guardian,2016-06-26,36,32,7,15.0,5.0,4
Survation/Mail on Sunday,2016-06-25,32,32,9,16.0,4.0,0
Opinium/,2016-06-22,34,30,6,19.0,4.0,4
Opinium/Observer,2016-06-17,34,30,6,18.0,4.0,4
ComRes/Sunday Mirror/Independent (O),2016-06-16,34,29,8,19.0,4.0,5
Ipsos-MORI/Evening Standard,2016-06-14,35,34,9,10.0,4.0,1
ICM/Guardian (O),2016-06-13,34,30,8,19.0,4.0,4
ICM/Guardian (P),2016-06-13,34,33,9,14.0,5.0,1
Opinium/Observer,2016-06-10,35,32,4,18.0,4.0,3
Opinium/Observer,2016-06-03,34,30,6,18.0,4.0,4
ICM/Guardian,2016-05-29,36,32,7,15.0,3.0,4
ICM/Guardian (O),2016-05-29,36,31,7,17.0,4.0,5
Opinium/Observer,2016-05-19,35,30,5,18.0,5.0,5
Ipsos-MORI/Evening Standard,2016-05-16,36,34,8,10.0,5.0,2
ICM/Guardian (O),2016-05-15,34,32,7,17.0,4.0,2
ICM/Guardian,2016-05-15,36,34,7,13.0,4.0,2
ComRes/Independent/S Mirror (O),2016-05-12,36,30,8,17.0,4.0,6
Opinium/Observer,2016-04-29,38,30,5,15.0,5.0,8
BMG/,2016-04-26,33,32,6,18.0,4.0,1
YouGov/Times,2016-04-26,30,33,6,20.0,3.0,-3
Ipsos-MORI/Evening Standard,2016-04-18,38,35,6,11.0,3.0,3
ICM/Guardian (O),2016-04-17,36,31,7,16.0,4.0,5
ICM/Guardian,2016-04-17,38,33,7,13.0,3.0,5
ComRes/Independent/S Mirror (O),2016-04-14,35,30,8,16.0,4.0,5
YouGov/Times,2016-04-12,31,34,8,17.0,3.0,-3
Opinium/Observer,2016-04-01,33,32,5,17.0,4.0,1
BMG/,2016-03-29,36,31,7,16.0,5.0,5
Ipsos-MORI/Evening Standard,2016-03-22,36,34,10,11.0,3.0,2
ComRes/Daily Mail,2016-03-20,37,35,7,9.0,4.0,2
YouGov/Times,2016-03-17,33,34,6,16.0,3.0,-1
ICM/Guardian,2016-03-13,36,36,8,11.0,3.0,0
ComRes/Independent on Sunday (O),2016-03-10,38,29,7,16.0,4.0,9
BMG/,2016-02-23,38,30,5,16.0,5.0,8
YouGov/Times,2016-02-23,37,30,8,16.0,3.0,7
ComRes/Daily Mail,2016-02-22,38,31,8,12.0,3.0,7
Ipsos-MORI/,2016-02-16,39,33,6,12.0,3.0,6
ICM/Guardian,2016-02-14,39,32,7,11.0,4.0,7
ComRes/Independent on Sunday (O),2016-02-12,41,27,9,15.0,3.0,14
YouGov/Times,2016-02-04,39,29,6,18.0,3.0,10
YouGov/,2016-01-28,39,30,6,17.0,3.0,9
Ipsos-MORI/,2016-01-25,40,31,7,11.0,4.0,9
ComRes/Daily Mail,2016-01-24,37,32,6,12.0,4.0,5
ICM/Guardian,2016-01-17,40,35,6,10.0,3.0,5
Survation/Mail on Sunday,2016-01-16,37,30,7,16.0,3.0,7
ComRes/Ind on Sun/S. Mirror,2016-01-15,40,29,7,16.0,3.0,11
Panelbase/Sunday Times,2016-01-14,39,31,6,14.0,3.0,8
ICM/Guardian,2015-12-20,39,34,7,10.0,3.0,5
YouGov/Times,2015-12-18,39,29,6,17.0,3.0,10
Opinium/Observer,2015-12-18,38,30,5,16.0,5.0,8
Ipsos-MORI/Evening Standard,2015-12-14,38,31,9,9.0,6.0,7
ComRes/Daily Mail,2015-12-13,37,33,7,11.0,5.0,4
ComRes/Independent on Sunday (O),2015-12-11,40,29,7,16.0,3.0,11
YouGov/Times,2015-12-01,41,30,6,16.0,3.0,11
YouGov/,2015-11-24,38,29,6,17.0,3.0,9
ComRes/Daily Mail,2015-11-22,40,29,8,11.0,3.0,11
ComRes/Independent on Sunday (O),2015-11-20,42,27,7,15.0,3.0,15
Ipsos-MORI/Evening Standard,2015-11-17,41,34,7,7.0,4.0,7
Survation/Leave.EU,2015-11-17,37,30,6,16.0,3.0,7
ICM/Guardian,2015-11-15,39,33,7,12.0,3.0,6
Survation/Leave.EU,2015-11-11,36,30,7,15.0,3.0,6
BMG/,2015-10-27,37,31,6,15.0,5.0,6
ComRes/Mail,2015-10-25,38,33,8,10.0,3.0,5
Ipsos-MORI/Evening Standard,2015-10-19,36,32,10,12.0,3.0,4
Opinium/,2015-10-16,37,32,5,15.0,4.0,5
ComRes/Independent on Sunday (O),2015-10-15,42,29,7,13.0,3.0,13
ICM/Guardian,2015-10-11,38,34,7,11.0,3.0,4
YouGov/Sun,2015-09-30,37,31,7,17.0,2.0,6
ComRes/DailyMail,2015-09-28,39,30,9,12.0,4.0,9
Ipsos-MORI/Evening Standard,2015-09-23,39,34,9,7.0,4.0,5
YouGov/Sunday Times,2015-09-18,39,31,6,16.0,3.0,8
Opinium/,2015-09-18,37,32,6,14.0,4.0,5
ComRes/Independent on Sunday (O),2015-09-17,42,30,7,13.0,3.0,12
ICM/Guardian,2015-09-13,38,32,8,13.0,3.0,6
Survation/Mail on Sunday,2015-09-04,38,32,6,13.0,4.0,6
ComRes/Daily Mail,2015-08-23,42,28,8,9.0,6.0,14
Survation/TSSA,2015-08-13,38,33,6,15.0,3.0,5
ComRes/Independent on Sunday (O),2015-08-13,40,29,8,13.0,4.0,11
ICM/Guardian,2015-08-09,40,31,7,10.0,4.0,9
ComRes/Daily Mail,2015-07-26,40,28,7,10.0,5.0,12
Ipsos-MORI/Evening Standard,2015-07-20,37,31,10,9.0,8.0,6
ICM/Guardian,2015-07-12,38,34,6,13.0,4.0,4
ComRes/Daily Mail,2015-06-28,39,27,9,11.0,6.0,12
Ipsos-MORI/Evening Standard,2015-06-16,39,30,9,8.0,6.0,9
ICM/Guardian,2015-06-14,37,31,8,13.0,5.0,6
ComRes/Daily Mail,2015-05-31,41,29,8,10.0,5.0,12
YouGov/Sun,2015-05-26,41,30,7,13.0,4.0,11
Survation/Mail on Sunday,2015-05-09,40,31,6,12.0,3.0,9
YouGov/Sun,2015-05-06,34,34,10,12.0,4.0,0
ICM/Guardian,2015-05-06,34,35,9,11.0,4.0,-1
ComRes/Daily Mail,2015-05-06,35,34,9,12.0,4.0,1
Survation/Mirror,2015-05-06,31,31,10,16.0,5.0,0
Panelbase/,2015-05-06,31,33,8,16.0,5.0,-2
Ashcroft/,2015-05-06,33,33,10,11.0,6.0,0
Populus/,2015-05-06,34,34,9,13.0,5.0,0
Ipsos-MORI/Evening Standard,2015-05-06,36,35,8,11.0,5.0,1
BMG/M2015,2015-05-05,34,34,10,12.0,4.0,0
ComRes/Daily Mail,2015-05-05,35,32,9,14.0,4.0,3
YouGov/Sun,2015-05-05,34,34,9,12.0,5.0,0
Opinium/,2015-05-05,35,34,8,12.0,6.0,1
Survation/Mirror,2015-05-05,33,34,9,16.0,4.0,-1
YouGov/Sun,2015-05-04,33,33,10,12.0,5.0,0
YouGov/Sun,2015-05-03,34,33,9,12.0,5.0,1
Ashcroft/,2015-05-03,32,30,11,12.0,7.0,2
Populus/,2015-05-03,34,34,10,13.0,5.0,0
YouGov/Sunday Times,2015-05-02,34,33,8,13.0,5.0,1
Survation/Mail on Sunday,2015-05-02,31,34,8,17.0,4.0,-3
Survation/Mirror,2015-05-01,33,34,9,16.0,3.0,-1
YouGov/Sun,2015-05-01,33,34,8,14.0,5.0,-1
YouGov/Sun,2015-04-30,34,35,8,12.0,5.0,-1
Populus/,2015-04-30,33,33,9,15.0,4.0,0
Panelbase/,2015-04-30,32,34,8,17.0,4.0,-2
YouGov/Sun on Sunday,2015-04-30,34,35,9,12.0,5.0,-1
Ipsos-MORI/Evening Standard,2015-04-29,35,30,8,10.0,8.0,5
YouGov/Sun,2015-04-29,35,34,9,12.0,4.0,1
ComRes/ITV/Mail,2015-04-28,35,35,7,11.0,6.0,0
YouGov/Sun,2015-04-28,34,35,9,12.0,4.0,-1
TNS BMRB/,2015-04-27,34,33,7,15.0,5.0,1
BMG/M2015,2015-04-27,35,32,11,14.0,3.0,3
YouGov/Sun,2015-04-27,35,34,9,12.0,5.0,1
Ashcroft/,2015-04-26,36,30,9,11.0,7.0,6
Populus/,2015-04-26,33,36,8,14.0,5.0,-3
ICM/Guardian,2015-04-26,35,32,9,13.0,5.0,3
YouGov/Sun,2015-04-26,33,34,8,14.0,5.0,-1
YouGov/Sunday Times,2015-04-25,32,34,9,14.0,6.0,-2
Survation/Mail on Sunday,2015-04-25,33,30,9,18.0,4.0,3
YouGov/Sun,2015-04-24,33,35,8,13.0,6.0,-2
Opinium/Observer,2015-04-24,34,33,9,13.0,6.0,1
Survation/Mirror,2015-04-23,33,29,10,18.0,4.0,4
Panelbase/,2015-04-23,31,34,7,17.0,4.0,-3
YouGov/Sun,2015-04-23,33,35,8,13.0,6.0,-2
Populus/,2015-04-23,32,35,8,14.0,5.0,-3
ComRes/ITV/Mail,2015-04-22,36,32,8,10.0,5.0,4
YouGov/Sun,2015-04-22,33,34,7,14.0,5.0,-1
YouGov/Sun,2015-04-21,35,34,7,13.0,5.0,1
YouGov/Sun,2015-04-20,34,35,7,13.0,5.0,-1
TNS BMRB/,2015-04-20,32,34,8,15.0,5.0,-2
ICM/Guardian,2015-04-19,34,32,10,11.0,5.0,2
Populus/,2015-04-19,32,34,9,15.0,4.0,-2
Ashcroft/,2015-04-19,34,30,10,13.0,4.0,4
YouGov/Sun,2015-04-19,34,35,8,13.0,5.0,-1
YouGov/Sunday Times,2015-04-18,33,36,8,13.0,5.0,-3
Opinium/Observer,2015-04-17,36,32,8,13.0,5.0,4
YouGov/Sun,2015-04-17,34,34,9,14.0,5.0,0
Survation/Mirror,2015-04-17,34,33,7,17.0,3.0,1
Populus/,2015-04-16,33,34,9,14.0,4.0,-1
YouGov/Sun,2015-04-16,34,34,7,14.0,5.0,0
Panelbase/,2015-04-16,33,34,8,16.0,4.0,-1
Ipsos-MORI/Evening Standard,2015-04-15,33,35,7,10.0,8.0,-2
YouGov/Sun,2015-04-15,34,35,8,13.0,5.0,-1
YouGov/Sun,2015-04-14,33,35,8,13.0,5.0,-2
TNS BMRB/,2015-04-13,34,32,9,14.0,5.0,2
YouGov/Sun,2015-04-13,33,34,8,13.0,6.0,-1
Populus/,2015-04-12,33,33,8,15.0,5.0,0
ICM/Guardian,2015-04-12,39,33,8,7.0,7.0,6
Ashcroft/,2015-04-12,33,33,9,13.0,6.0,0
YouGov/Sun,2015-04-12,33,36,7,13.0,5.0,-3
YouGov/Sunday Times,2015-04-11,34,34,7,13.0,6.0,0
YouGov/Sun,2015-04-10,33,35,8,13.0,5.0,-2
Survation/Mirror,2015-04-09,31,35,9,15.0,4.0,-4
Opinium/Observer,2015-04-09,36,34,7,11.0,6.0,2
Panelbase/,2015-04-09,31,37,8,16.0,4.0,-6
YouGov/Sun,2015-04-09,35,34,8,12.0,4.0,1
Populus/,2015-04-09,31,33,8,16.0,6.0,-2
YouGov/Sun,2015-04-08,34,35,8,13.0,5.0,-1
ComRes/ITV/Mail,2015-04-08,34,33,12,12.0,4.0,1
TNS BMRB/,2015-04-07,30,33,8,19.0,4.0,-3
YouGov/Sun,2015-04-07,33,35,8,14.0,5.0,-2
Populus/,2015-04-06,31,33,10,15.0,4.0,-2
YouGov/Sunday Times,2015-04-04,34,33,10,13.0,4.0,1
Opinium/Observer,2015-04-03,33,33,7,14.0,7.0,0
Survation/Mirror,2015-04-03,31,33,9,18.0,3.0,-2
Panelbase/,2015-04-02,33,33,7,17.0,5.0,0
YouGov/Sun,2015-04-02,37,35,7,12.0,5.0,2
YouGov/Sun,2015-04-01,36,34,8,13.0,4.0,2
Populus/,2015-04-01,32,34,9,15.0,5.0,-2
YouGov/Sun,2015-03-31,35,36,7,12.0,5.0,-1
YouGov/Sun,2015-03-30,35,35,8,12.0,5.0,0
TNS BMRB/,2015-03-30,33,32,8,16.0,5.0,1
Populus/,2015-03-29,34,34,8,15.0,4.0,0
Ashcroft/,2015-03-29,36,34,6,10.0,7.0,2
ComRes/ITV/Mail,2015-03-29,36,32,9,12.0,5.0,4
YouGov/Sunday Times,2015-03-28,32,36,8,13.0,6.0,-4
Populus/,2015-03-26,31,33,9,16.0,5.0,-2
YouGov/Sun,2015-03-26,36,34,7,13.0,5.0,2
Panelbase/,2015-03-26,34,34,5,15.0,6.0,0
Opinium/Observer,2015-03-25,34,33,8,13.0,7.0,1
YouGov/Sun,2015-03-25,34,35,8,12.0,6.0,-1
Survation/Daily Mirror,2015-03-25,32,33,8,18.0,4.0,-1
YouGov/Sun,2015-03-24,35,35,8,12.0,6.0,0
YouGov/Sun,2015-03-23,34,34,8,12.0,6.0,0
YouGov/Times,2015-03-23,34,33,8,14.0,5.0,1
ComRes/Daily Mail,2015-03-22,35,35,8,10.0,7.0,0
Ashcroft/,2015-03-22,33,33,8,12.0,5.0,0
Populus/,2015-03-22,31,33,9,16.0,5.0,-2
Survation/Mail on Sunday,2015-03-21,30,34,10,17.0,3.0,-4
YouGov/Sunday Times,2015-03-20,33,35,8,14.0,5.0,-2
Opinium/Observer,2015-03-19,36,33,7,14.0,6.0,3
Populus/,2015-03-19,31,34,9,17.0,5.0,-3
YouGov/Sun,2015-03-19,35,33,8,13.0,6.0,2
YouGov/Sun,2015-03-18,33,34,8,14.0,6.0,-1
YouGov/Sun,2015-03-17,34,36,7,12.0,6.0,-2
TNS BMRB/,2015-03-16,33,32,7,17.0,4.0,1
YouGov/Sun,2015-03-16,33,35,7,13.0,7.0,-2
Ashcroft/,2015-03-15,31,29,8,15.0,8.0,2
Populus/,2015-03-15,34,34,8,14.0,5.0,0
ICM/Guardian,2015-03-15,36,35,8,9.0,4.0,1
ComRes/Independent on Sunday (O),2015-03-13,33,35,7,16.0,4.0,-2
YouGov/Sunday Times,2015-03-13,34,34,7,14.0,5.0,0
Opinium/Observer,2015-03-12,33,35,7,14.0,7.0,-2
Populus/,2015-03-12,29,32,8,18.0,6.0,-3
YouGov/Sun,2015-03-12,33,32,7,16.0,6.0,1
Ipsos-MORI/Evening Standard,2015-03-11,33,34,8,13.0,6.0,-1
YouGov/Sun,2015-03-11,34,35,7,14.0,5.0,-1
YouGov/Sun,2015-03-10,33,31,8,15.0,6.0,2
YouGov/Sun,2015-03-09,35,31,8,14.0,6.0,4
Ashcroft/,2015-03-08,34,30,5,15.0,8.0,4
Populus/,2015-03-08,32,33,9,15.0,6.0,-1
Opinium/Observer,2015-03-06,34,34,8,14.0,7.0,0
YouGov/Sunday Times,2015-03-06,34,33,8,15.0,5.0,1
Populus/,2015-03-05,31,33,8,16.0,5.0,-2
YouGov/Sun,2015-03-05,31,35,6,15.0,8.0,-4
YouGov/Sun,2015-03-04,34,34,8,14.0,6.0,0
YouGov/Sun,2015-03-03,36,34,5,14.0,6.0,2
YouGov/Sun,2015-03-02,35,32,7,15.0,6.0,3
Ashcroft/,2015-03-01,34,31,7,14.0,7.0,3
Populus/,2015-03-01,32,34,8,14.0,5.0,-2
YouGov/Sunday Times,2015-02-27,34,34,8,14.0,5.0,0
Populus/,2015-02-27,31,33,9,16.0,6.0,-2
Opinium/Observer,2015-02-26,34,35,6,14.0,6.0,-1
YouGov/Sun,2015-02-26,33,34,8,13.0,6.0,-1
YouGov/Sun,2015-02-25,33,33,8,15.0,6.0,0
